nm, A
1971.000000, 0.071598
1970.000000, 0.092876
1969.000000, 0.115053
1968.000000, 0.089268
1967.000000, 0.042660
1966.000000, 0.019389
1965.000000, 0.044708
1964.000000, 0.036281
1963.000000, 0.028069
1962.000000, 0.074932
1961.000000, 0.075604
1960.000000, 0.063773
1959.000000, 0.018415
1958.000000, 0.028628
1957.000000, -0.003207
1956.000000, 0.042941
1955.000000, 0.042216
1954.000000, 0.101718
1953.000000, 0.117799
1952.000000, 0.075992
1951.000000, 0.043554
1950.000000, 0.090563
1949.000000, 0.049531
1948.000000, 0.051893
1947.000000, 0.073350
1946.000000, 0.045647
1945.000000, 0.080324
1944.000000, -0.004389
1943.000000, 0.098239
1942.000000, 0.109959
1941.000000, 0.082652
1940.000000, 0.087832
1939.000000, 0.032299
1938.000000, 0.231534
1937.000000, 0.068076
1936.000000, 0.011385
1935.000000, 0.063698
1934.000000, 0.216760
1933.000000, 0.228076
1932.000000, 0.289698
1931.000000, 0.221401
1930.000000, 0.086246
1929.000000, 0.075264
1928.000000, 0.345753
1927.000000, 0.109306
1926.000000, 0.088820
1925.000000, 0.069943
1924.000000, 0.129809
1923.000000, -0.000678
1922.000000, 0.246106
1921.000000, -0.029047
1920.000000, 0.082051
1919.000000, 0.065055
1918.000000, 0.283907
1917.000000, 0.228426
1916.000000, 0.173346
1915.000000, 0.719909
1914.000000, 0.215207
1913.000000, 0.009489
1912.000000, 0.298509
1911.000000, 0.151318
1910.000000, 0.455075
1909.000000, 0.254201
1908.000000, -0.068131
1907.000000, 0.265739
1906.000000, 0.050339
1905.000000, 0.258033
1904.000000, -0.057054
1903.000000, 0.429705
1902.000000, 0.103420
1901.000000, 0.363489
1900.000000, 0.468811
1899.000000, 0.148373
1898.000000, 0.271615
1897.000000, 0.242317
1896.000000, 0.191798
1895.000000, 0.231736
1894.000000, 0.320843
1893.000000, 0.335469
1892.000000, -0.066078
1891.000000, 0.054455
1890.000000, 0.411130
1889.000000, 0.206404
1888.000000, 0.096979
1887.000000, 0.126832
1886.000000, 0.118898
1885.000000, 0.292682
1884.000000, 0.040897
1883.000000, 0.193058
1882.000000, -0.018984
1881.000000, 0.358862
1880.000000, -0.000005
1879.000000, 0.299122
1878.000000, 0.275910
1877.000000, 0.207643
1876.000000, 0.113549
1875.000000, -0.007955
1874.000000, 0.168704
1873.000000, 0.151250
1872.000000, 0.036968
1871.000000, 0.115374
1870.000000, -0.009467
1869.000000, 0.151801
1868.000000, 0.245176
1867.000000, 0.128389
1866.000000, 0.004472
1865.000000, 0.148235
1864.000000, 0.283245
1863.000000, 0.240469
1862.000000, 0.278559
1861.000000, 0.237375
1860.000000, 0.105438
1859.000000, -0.032321
1858.000000, 0.199512
1857.000000, -0.012352
